dataset_id,snr,snr_c,fdm_lite,psi_lite,iqi_spec,delta_lambda_over_fwhm,delta_bic,p_doublet,peak_nm,prep_stability,p_boundary
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,3,0.817574,,0.95,0.05
pubchem::29393,180.1,300,-0.399667,0.05,0.541801,,,,,0.95,0.05
pubchem::29393,138,300,-0.54,0.05,0.41515,,,,,0.95,0.05
pubchem::29393,138,300,-0.54,0.05,0.41515,,,,,0.95,0.05
pubchem::29393,138,300,-0.54,0.05,0.41515,,,,,0.95,0.05
pubchem::29393,1,300,-0.996667,0.05,0.00300833,,6,0.952574,,0.95,0.05
pubchem::29393,,300,,0.05,,,3,0.817574,,0.95,0.05
pubchem::29393,180.1,300,-0.399667,0.05,0.541801,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,1,0.622459,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,1,300,-0.996667,0.05,0.00300833,,6,0.952574,,0.95,0.05
pubchem::29393,7.2,300,-0.976,0.05,0.02166,,,,,0.95,0.05
pubchem::29393,0.1,300,-0.999667,0.05,0.000300833,,,,,0.95,0.05
pubchem::29393,0.1,300,-0.999667,0.05,0.000300833,,,,,0.95,0.05
pubchem::29393,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,9.75,0.992423,,0.95,0.05
pubchem::29393,,300,,0.05,,,1,0.622459,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,14,300,-0.953333,0.05,0.0421167,,8,0.982014,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,1,0.622459,,0.95,0.05
pubchem::29393,4,300,-0.986667,0.05,0.0120333,,2,0.731059,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,19044,300,62.48,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,23,0.99999,,0.95,0.05
